District Name,District Code,Block Name,Block Code,Cluster Code,School Name,UDISE Code,School Management,School Category,PP3(Boys),PP3(Girls),PP3(Trans),PP3(Total),PP2(Boys),PP2(Girls),PP2(Trans),PP2(Total),PP1(Boys),PP1(Girls),PP1(Trans),PP1(Total),Class 1(Boys),Class 1(Girls),Class 1(Trans),Class 1(Total),Class 2(Boys),Class 2(Girls),Class 2(Trans),Class 2(Total),Class 3(Boys),Class 3(Girls),Class 3(Trans),Class 3(Total),Class 4(Boys),Class 4(Girls),Class 4(Trans),Class 4(Total),Class 5(Boys),Class 5(Girls),Class 5(Trans),Class 5(Total),Class 6(Boys),Class 6(Girls),Class 6(Trans),Class 6(Total),Class 7(Boys),Class 7(Girls),Class 7(Trans),Class 7(Total),Class 8(Boys),Class 8(Girls),Class 8(Trans),Class 8(Total),Class 9(Boys),Class 9(Girls),Class 9(Trans),Class 9(Total),Class 10(Boys),Class 10(Girls),Class 10(Trans),Class 10(Total),Class 11(Boys),Class 11(Girls),Class 11(Trans),Class 11(Total),Class 12(Boys),Class 12(Girls),Class 12(Trans),Class 12(Total),Total Boys,Total Girls,Total Trans,Grand Total
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1922530,ALIGANJ F.P. SCHOOL,19260204902,1,1,0,0,0,0,0,0,0,0,10,9,0,19,9,8,0,17,13,8,0,21,19,7,0,26,10,9,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,41,0,102
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1922531,ALIPUR F.P. SCHOOL,19260207402,1,1,0,0,0,0,0,0,0,0,6,5,0,11,13,4,0,17,2,12,0,14,5,4,0,9,6,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,30,0,62
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1922531,AMDIHA F.P. SCHOOL,19260208004,1,1,0,0,0,0,0,0,0,0,1,0,0,1,6,5,0,11,8,8,0,16,10,7,0,17,5,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,24,0,54
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1922531,AMDIHA HINDI F.P. SCHOOL,19260208005,1,1,0,0,0,0,0,0,0,0,2,1,0,3,0,4,0,4,1,0,0,1,5,4,0,9,6,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,0,25
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1922531,AMNALA F.P. SCHOOL,19260207805,1,1,0,0,0,0,0,0,0,0,8,7,0,15,9,4,0,13,5,7,0,12,9,7,0,16,11,9,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,34,0,76
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920815,AMULIA SSK,19260202104,12,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,9,3,5,0,8,2,7,0,9,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,0,32
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920860,ANANDA MARGA PRIMARY SCHOOL,19260208904,5,1,0,0,0,0,6,6,0,12,15,19,0,34,12,3,0,15,6,1,0,7,7,6,0,13,15,7,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,42,0,103
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1920860,ASANBANI ADIBASI F.P. SCHOOL,19260208302,1,1,0,0,0,0,0,0,0,0,5,6,0,11,11,7,0,18,10,8,0,18,6,5,0,11,7,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,30,0,69
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1922531,BALIAPUR F.P. SCHOOL,19260208103,1,1,0,0,0,0,0,0,0,0,18,4,0,22,14,5,0,19,9,9,0,18,17,10,0,27,10,9,0,19,12,12,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,49,0,129
PASCHIM BARDHAMAN,1926,BARABANI,192602,CLU1922531,BALIAPUR NICHUPARA F.P. SCHOOL,19260208101,1,1,0,0,0,0,0,0,0,0,2,1,0,3,5,2,0,7,2,3,0,5,3,3,0,6,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0,25
